class,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG178,PID10001,RIDALDothan,22,31341.59,7873.54,7017.50
DRG178,PID10005,RIDALBirmingham,29,16967.00,9003.79,7318.62
DRG178,PID10006,RIDALBirmingham,31,41442.48,8063.38,7338.25
DRG178,PID10009,RIDALBirmingham,15,60995.86,8001.00,7254.86
DRG178,PID10010,RIDALHuntsville,21,21231.80,6822.23,6233.85
DRG178,PID10011,RIDALBirmingham,17,25045.47,8109.05,7363.70
DRG178,PID10012,RIDALBirmingham,22,45575.22,7485.22,6708.18
DRG178,PID10016,RIDALBirmingham,14,47358.07,11643.85,6528.35
DRG178,PID10019,RIDALBirmingham,18,19213.72,8227.44,7539.22
DRG178,PID10021,RIDALDothan,15,11068.06,8318.26,7268.13
DRG178,PID10024,RIDALMontgomery,15,26700.06,8300.46,6807.26
DRG178,PID10029,RIDALBirmingham,14,13003.57,7650.14,6897.78
DRG178,PID10033,RIDALBirmingham,52,51261.84,13740.98,9472.61
DRG178,PID10035,RIDALBirmingham,17,32840.23,8064.88,7271.47
DRG178,PID10039,RIDALHuntsville,75,33127.97,8858.88,7956.33
DRG178,PID10040,RIDALBirmingham,27,90383.44,7709.25,6909.29
DRG178,PID10045,RIDALTuscaloosa,16,22912.62,8555.43,7783.18
DRG178,PID10046,RIDALBirmingham,18,71440.05,7786.77,7086.38
DRG178,PID10054,RIDALHuntsville,16,50024.62,7913.87,7493.37
DRG178,PID10055,RIDALDothan,26,34535.23,7696.38,6962.38
DRG178,PID10056,RIDALBirmingham,20,29658.60,7597.00,6458.85
DRG178,PID10059,RIDALBirmingham,35,16073.28,8722.45,7777.08
DRG178,PID10061,RIDALHuntsville,15,32019.20,9269.66,8525.66
DRG178,PID10062,RIDALDothan,18,11261.94,8375.11,7816.22
DRG178,PID10065,RIDALBirmingham,13,13097.07,8225.07,7448.76
DRG178,PID10078,RIDALBirmingham,13,29239.00,7537.69,6756.46
DRG178,PID10079,RIDALHuntsville,13,15354.53,8505.00,7040.30
DRG178,PID10083,RIDALMobile,12,64719.16,7716.66,6964.66
DRG178,PID10085,RIDALHuntsville,36,10020.88,7830.27,6861.08
DRG178,PID10086,RIDALBirmingham,15,32704.66,7663.80,6991.00
DRG178,PID10089,RIDALBirmingham,19,31323.00,7538.73,6623.68
DRG178,PID10090,RIDALMobile,17,22739.17,8870.70,6303.76
DRG178,PID10092,RIDALTuscaloosa,57,33445.96,8955.03,8359.33
DRG178,PID10103,RIDALBirmingham,23,51931.34,8843.30,8096.91
DRG178,PID10104,RIDALBirmingham,20,103398.40,10446.35,8120.35
DRG178,PID10109,RIDALTuscaloosa,12,20527.16,11873.50,11029.83
DRG178,PID10113,RIDALMobile,65,30808.06,7808.81,6809.96
DRG178,PID10114,RIDALBirmingham,12,37057.00,9036.58,6639.00
DRG178,PID10120,RIDALMobile,11,22493.00,8341.00,7523.54
DRG178,PID10125,RIDALBirmingham,13,21843.46,8061.76,7367.61
DRG178,PID10129,RIDALMobile,11,17786.18,9174.18,7620.27
DRG178,PID10131,RIDALHuntsville,13,41960.84,7822.84,7133.61
DRG178,PID10139,RIDALBirmingham,32,110942.65,8865.93,7030.12
DRG178,PID10164,RIDALBirmingham,26,44002.07,8858.00,8122.76
