class,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG193,PID100007,RIDFLOrlando,309,56522.28,10825.15,8759.08
DRG193,PID100053,RIDFLMiami,34,84811.14,12814.58,12161.02
DRG193,PID100054,RIDFLPensacola,20,69529.45,7300.55,6626.15
DRG193,PID100252,RIDFLOrlando,26,42686.11,10055.00,8127.00
DRG193,PID110001,RIDGAAtlanta,137,29133.29,8500.69,7785.85
DRG193,PID140185,RIDMOSt.Louis,133,34461.18,8510.93,7479.23
DRG193,PID140186,RIDILJoliet,56,32328.51,10612.25,8838.82
DRG193,PID140187,RIDMOSt.Louis,75,26018.26,8182.25,6932.58
DRG193,PID140289,RIDMOSt.Louis,49,28360.51,8158.20,7266.36
DRG193,PID200001,RIDMEBangor,27,22451.92,9080.96,8412.51
DRG193,PID220082,RIDMABoston,53,15947.60,10008.37,9220.52
DRG193,PID250025,RIDMSTupelo,18,31160.88,7691.72,7071.72
DRG193,PID300019,RIDNHLebanon,73,20491.34,10257.95,9518.45
DRG193,PID330218,RIDNYSyracuse,33,19513.81,9442.96,8801.72
DRG193,PID340023,RIDNCAsheville,20,22768.00,8886.00,8072.50
DRG193,PID360078,RIDOHAkron,43,28157.81,7852.53,6873.69
DRG193,PID370065,RIDOKTulsa,20,15468.10,8382.85,6894.40
DRG193,PID390046,RIDPAYork,69,19541.66,11079.21,9467.62
DRG193,PID390048,RIDPAHarrisburg,31,16899.96,8790.00,7648.00
DRG193,PID450187,RIDTXHouston,11,24531.81,9684.45,8864.09
DRG193,PID450188,RIDTXDallas,20,54309.30,7678.05,7283.45
DRG193,PID450192,RIDTXWaco,13,30698.00,7500.61,7239.38
DRG193,PID450193,RIDTXHouston,46,51182.86,11272.17,9359.54
DRG193,PID10069,RIDALDothan,11,25489.72,8916.00,8198.54
DRG193,PID50006,RIDCARedding,27,48050.40,10943.14,9619.92
DRG193,PID10001,RIDALDothan,55,31350.52,8148.67,7403.25
DRG193,PID10005,RIDALBirmingham,57,19380.96,8305.10,7575.91
DRG193,PID10006,RIDALBirmingham,121,37018.57,7895.87,7023.34
DRG193,PID10007,RIDALDothan,11,20801.09,6971.81,6054.36
DRG193,PID10010,RIDALHuntsville,61,27766.98,7728.65,6996.57
DRG193,PID10011,RIDALBirmingham,89,33768.75,8454.07,6908.19
DRG193,PID10012,RIDALBirmingham,18,34917.00,7777.66,6746.33
DRG193,PID10016,RIDALBirmingham,49,47292.57,8581.46,6963.71
DRG193,PID10019,RIDALBirmingham,41,21757.34,8169.36,7456.19
DRG193,PID10021,RIDALDothan,18,17221.94,8256.27,7445.83
DRG193,PID10023,RIDALMontgomery,26,34970.42,9470.23,8662.61
DRG193,PID10024,RIDALMontgomery,50,36957.62,8597.36,7492.90
DRG193,PID10025,RIDALBirmingham,17,10730.70,8779.76,7858.82
DRG193,PID10029,RIDALBirmingham,40,14931.12,8213.65,7287.75
DRG193,PID10033,RIDALBirmingham,81,33152.65,11114.80,9464.61
DRG193,PID10034,RIDALMontgomery,13,13931.92,8158.92,7551.84
DRG193,PID10035,RIDALBirmingham,72,27895.66,8315.81,6930.95
DRG193,PID10038,RIDALBirmingham,50,31921.44,7676.92,6143.38
DRG193,PID10039,RIDALHuntsville,184,33523.99,8831.37,7723.02
DRG193,PID10040,RIDALBirmingham,82,85304.51,7856.97,6951.70
DRG193,PID10043,RIDALBirmingham,17,14316.94,9192.47,8332.47
DRG193,PID10046,RIDALBirmingham,101,74270.64,8209.26,7074.29
DRG193,PID10047,RIDALMontgomery,12,9221.41,8528.66,7871.00
DRG193,PID10049,RIDALDothan,11,43546.36,7720.00,7008.36
DRG193,PID10050,RIDALBirmingham,13,29464.84,8396.53,6949.07
DRG193,PID10054,RIDALHuntsville,32,65284.71,9831.21,7382.75
DRG193,PID10055,RIDALDothan,65,46243.90,7850.83,6710.95
DRG193,PID10056,RIDALBirmingham,66,29031.19,7689.45,6912.93
DRG193,PID10061,RIDALHuntsville,42,21436.85,8286.88,7458.21
DRG193,PID10062,RIDALDothan,26,12172.07,8078.88,7479.19
DRG193,PID10065,RIDALBirmingham,15,13260.66,8223.86,7551.06
DRG193,PID10073,RIDALBirmingham,12,14258.91,7486.16,6736.83
DRG193,PID10078,RIDALBirmingham,104,34647.39,8151.89,6878.12
DRG193,PID10079,RIDALHuntsville,39,18980.30,8672.02,7836.02
DRG193,PID10083,RIDALMobile,11,78552.72,7554.45,6305.09
DRG193,PID10085,RIDALHuntsville,63,11823.06,8192.23,6952.30
DRG193,PID10086,RIDALBirmingham,16,31961.93,7726.43,7093.68
DRG193,PID10089,RIDALBirmingham,43,37995.18,8892.95,7118.83
DRG193,PID10090,RIDALMobile,110,25557.27,7939.44,6674.86
DRG193,PID10092,RIDALTuscaloosa,178,38755.07,9170.67,7892.67
DRG193,PID10100,RIDALMobile,27,23682.44,7087.55,6252.59
DRG193,PID10101,RIDALBirmingham,16,38752.31,9457.12,8755.62
DRG193,PID10103,RIDALBirmingham,54,56600.01,8645.61,7428.31
DRG193,PID10104,RIDALBirmingham,53,73456.45,8900.13,8268.79
DRG193,PID10108,RIDALMontgomery,16,29930.25,7522.37,6614.62
DRG193,PID10109,RIDALTuscaloosa,26,21212.26,12261.23,11442.61
DRG193,PID10113,RIDALMobile,77,37341.50,8475.75,7277.10
DRG193,PID10114,RIDALBirmingham,55,34265.12,8480.49,7131.70
DRG193,PID10118,RIDALBirmingham,39,39007.07,9806.17,9015.25
DRG193,PID10125,RIDALBirmingham,14,22124.64,8117.28,7398.71
DRG193,PID10126,RIDALMontgomery,15,21761.26,8183.53,6561.60
DRG193,PID10130,RIDALBirmingham,13,41303.61,10203.23,9146.61
DRG193,PID10131,RIDALHuntsville,43,59392.55,9126.62,6812.65
DRG193,PID10139,RIDALBirmingham,33,156958.48,8878.87,8145.27
DRG193,PID10144,RIDALMobile,35,19503.11,7507.11,6127.60
DRG193,PID10145,RIDALTuscaloosa,26,40562.26,9091.00,8446.53
DRG193,PID10148,RIDALMontgomery,16,14942.43,8012.25,7238.00
DRG193,PID10149,RIDALMontgomery,34,36116.88,10020.05,7034.41
DRG193,PID10157,RIDALBirmingham,19,30349.26,7649.00,6884.57
DRG193,PID10158,RIDALBirmingham,16,23192.31,8151.12,7233.37
DRG193,PID10164,RIDALBirmingham,16,45092.50,8627.68,7924.12
DRG193,PID10169,RIDFLPensacola,17,32216.11,7901.58,7437.35
DRG193,PID20001,RIDAKAnchorage,45,56159.51,14201.44,13221.22
DRG193,PID20006,RIDAKAnchorage,18,48267.94,14876.00,14130.27
DRG193,PID20008,RIDAKAnchorage,11,36137.72,18084.54,17369.90
DRG193,PID20012,RIDAKAnchorage,11,39625.36,20417.45,19602.90
DRG193,PID20017,RIDAKAnchorage,13,53893.61,11437.38,10482.00
DRG193,PID20024,RIDAKAnchorage,12,45460.50,17152.25,16494.58
DRG193,PID30001,RIDAZPhoenix,15,36107.40,12521.73,11551.33
DRG193,PID30002,RIDAZPhoenix,38,41500.02,11303.57,10174.44
DRG193,PID30006,RIDAZTucson,74,29236.33,10251.78,9563.90
DRG193,PID30007,RIDAZPhoenix,19,60966.47,12770.00,12056.73
DRG193,PID30010,RIDAZTucson,55,27702.74,9174.65,8242.34
DRG193,PID30011,RIDAZTucson,58,39790.46,8613.51,7911.51
DRG193,PID30012,RIDAZPhoenix,44,30141.54,9988.63,9299.09
DRG193,PID30013,RIDAZPhoenix,150,34373.52,10310.94,9152.62
DRG193,PID30014,RIDAZPhoenix,25,34811.52,9592.92,8083.12
DRG193,PID30016,RIDAZPhoenix,60,34868.08,10113.40,9349.36
DRG193,PID30023,RIDAZPhoenix,41,67239.95,18176.95,16441.95
DRG193,PID30024,RIDAZPhoenix,23,38294.39,13321.26,11568.13
DRG193,PID30030,RIDAZPhoenix,20,33662.55,10967.90,8759.75
DRG193,PID30033,RIDAZPhoenix,14,40050.28,9558.14,8918.14
DRG193,PID30036,RIDAZMesa,57,60668.40,9677.96,8759.35
DRG193,PID30038,RIDAZPhoenix,52,39582.48,9879.84,8654.53
DRG193,PID30043,RIDAZTucson,25,30835.92,11269.20,10683.12
DRG193,PID30055,RIDAZPhoenix,58,29909.25,10181.91,9536.36
DRG193,PID30061,RIDAZSunCity,64,44140.42,8794.40,7481.20
DRG193,PID30062,RIDAZPhoenix,16,34197.00,13380.06,10851.81
DRG193,PID30064,RIDAZTucson,53,43438.13,16048.66,15120.22
DRG193,PID30065,RIDAZMesa,78,33141.80,9891.91,8452.62
DRG193,PID30067,RIDAZPhoenix,12,24917.00,13570.16,12729.16
DRG193,PID30069,RIDAZPhoenix,17,39083.11,10562.76,8342.88
DRG193,PID30073,RIDAZPhoenix,11,29391.45,13208.36,12196.72
DRG193,PID30083,RIDAZPhoenix,26,37330.53,10252.92,8669.61
DRG193,PID30085,RIDAZTucson,57,38576.64,8952.05,7638.54
DRG193,PID30087,RIDAZPhoenix,54,40425.46,8585.98,7406.88
DRG193,PID30088,RIDAZMesa,100,34375.50,8704.78,7985.37
DRG193,PID30089,RIDAZPhoenix,72,37303.47,9789.98,9055.93
DRG193,PID30092,RIDAZPhoenix,39,32503.02,9478.61,8357.53
DRG193,PID30093,RIDAZSunCity,69,47421.55,8559.71,7845.27
DRG193,PID30094,RIDAZPhoenix,24,29470.08,10041.25,9384.91
DRG193,PID30100,RIDAZTucson,11,28898.63,7897.90,7080.45
DRG193,PID30103,RIDAZPhoenix,33,30487.57,11350.60,10070.54
DRG193,PID30110,RIDAZPhoenix,27,29762.00,9994.11,9165.07
DRG193,PID30114,RIDAZTucson,18,32975.38,7582.38,6962.38
DRG193,PID30115,RIDAZPhoenix,96,41828.92,10645.01,9177.76
DRG193,PID30117,RIDNVLasVegas,11,56669.09,9269.90,8558.27
DRG193,PID30118,RIDAZPhoenix,27,22248.00,9654.62,8820.85
DRG193,PID30119,RIDAZMesa,49,51624.14,9033.67,8114.20
DRG193,PID30121,RIDAZMesa,32,58734.34,10221.81,9518.28
DRG193,PID30122,RIDAZMesa,26,35493.65,9533.50,7376.92
DRG193,PID30123,RIDAZPhoenix,15,54184.86,10760.40,7037.86
DRG193,PID30128,RIDAZPhoenix,11,32201.18,7953.36,7441.72
DRG193,PID40001,RIDARSpringdale,25,33061.32,8575.60,7712.16
DRG193,PID40002,RIDARLittleRock,14,15126.28,8415.07,7613.35
DRG193,PID40004,RIDARSpringdale,56,33772.44,8403.48,7321.76
DRG193,PID40007,RIDARLittleRock,61,30049.29,8574.08,7675.54
DRG193,PID40010,RIDARSpringdale,26,23847.26,7874.53,6707.38
DRG193,PID40014,RIDARLittleRock,92,26624.81,8355.09,7321.52
DRG193,PID40016,RIDARLittleRock,68,49928.55,17096.55,15807.17
DRG193,PID40017,RIDARSpringdale,23,28887.86,8497.69,7411.65
DRG193,PID40018,RIDARFortSmith,12,48429.83,7760.16,6780.33
DRG193,PID40020,RIDARJonesboro,42,12805.59,8911.71,7821.57
DRG193,PID40022,RIDARSpringdale,62,41176.16,8547.48,7438.32
DRG193,PID40026,RIDARLittleRock,96,34109.96,8376.12,7399.91
DRG193,PID40027,RIDMOSpringfield,92,17011.77,7449.17,6778.69
DRG193,PID40029,RIDARLittleRock,60,20098.25,7829.41,7162.26
DRG193,PID40036,RIDARLittleRock,97,18562.44,7760.61,6994.94
DRG193,PID40039,RIDARJonesboro,29,17654.72,8181.17,7525.31
DRG193,PID40041,RIDARLittleRock,16,38963.37,8751.75,7910.75
DRG193,PID40042,RIDTNMemphis,24,33114.83,10938.87,10287.91
DRG193,PID40051,RIDARLittleRock,12,12698.66,7147.91,6408.75
DRG193,PID40055,RIDARFortSmith,99,21611.90,8451.17,7410.73
DRG193,PID40062,RIDARFortSmith,81,31522.77,7721.28,6726.82
DRG193,PID40071,RIDARLittleRock,22,31294.54,9283.68,8619.13
DRG193,PID40076,RIDARLittleRock,21,24480.80,7913.23,6912.80
