class,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG246,PID10001,RIDALDothan,38,84912.15,18301.07,17307.68
DRG246,PID10006,RIDALBirmingham,27,84797.81,18252.18,17340.48
DRG246,PID10011,RIDALBirmingham,16,60234.93,17478.31,16562.50
DRG246,PID10012,RIDALBirmingham,14,135364.21,16369.28,14816.21
DRG246,PID10016,RIDALBirmingham,27,111867.11,18200.70,17201.59
DRG246,PID10023,RIDALMontgomery,26,82225.30,20241.30,18416.11
DRG246,PID10029,RIDALBirmingham,15,41985.66,18276.80,17455.20
DRG246,PID10033,RIDALBirmingham,29,104912.72,24938.17,24397.20
DRG246,PID10039,RIDALHuntsville,68,82102.36,19136.35,17513.11
DRG246,PID10056,RIDALBirmingham,16,52260.56,16686.93,14167.68
DRG246,PID10078,RIDALBirmingham,55,75024.67,17318.21,16339.80
DRG246,PID10090,RIDALMobile,19,53509.78,16412.52,15462.63
DRG246,PID10092,RIDALTuscaloosa,51,65326.54,19269.66,18255.54
DRG246,PID10100,RIDALMobile,20,63661.70,15513.60,14782.60
DRG246,PID10103,RIDALBirmingham,30,105208.43,18432.43,17443.43
DRG246,PID10113,RIDALMobile,65,64052.63,16893.80,15676.12
DRG246,PID10118,RIDALBirmingham,33,97154.51,21844.78,20813.15
DRG246,PID10139,RIDALBirmingham,15,167274.33,17401.33,15676.46
DRG246,PID20001,RIDAKAnchorage,37,119404.16,30857.32,29916.72
DRG246,PID30002,RIDAZPhoenix,69,118181.62,25943.63,23937.78
DRG246,PID30006,RIDAZTucson,17,57254.58,21596.82,20372.47
DRG246,PID30011,RIDAZTucson,11,77484.63,19296.36,18373.09
DRG246,PID30012,RIDAZPhoenix,24,110333.95,26698.45,22489.91
DRG246,PID30013,RIDAZPhoenix,22,87256.86,22742.40,22027.86
DRG246,PID30014,RIDAZPhoenix,12,123692.33,20711.83,19585.16
DRG246,PID30023,RIDAZPhoenix,12,103310.00,33053.00,32489.66
DRG246,PID30024,RIDAZPhoenix,12,150937.00,31541.91,25690.16
DRG246,PID30030,RIDAZPhoenix,30,81989.13,24148.43,22465.46
DRG246,PID30036,RIDAZMesa,20,121644.30,20963.05,19507.40
DRG246,PID30037,RIDAZPhoenix,15,139034.60,22733.80,21895.46
DRG246,PID30055,RIDAZPhoenix,17,94943.58,22562.23,21700.35
DRG246,PID30061,RIDAZSunCity,27,90644.11,18428.00,17553.48
DRG246,PID30064,RIDAZTucson,12,109472.83,30713.83,29789.16
DRG246,PID30065,RIDAZMesa,12,85239.66,23862.50,22927.16
DRG246,PID30085,RIDAZTucson,24,131254.12,19775.12,16593.83
DRG246,PID70025,RIDCTHartford,56,75050.83,28669.85,26606.94
DRG246,PID30087,RIDAZPhoenix,22,100264.50,23198.90,17738.22
DRG246,PID30089,RIDAZPhoenix,18,72131.00,23322.27,18614.05
DRG246,PID30092,RIDAZPhoenix,23,124792.56,21465.26,18815.17
DRG246,PID30093,RIDAZSunCity,17,90630.00,18921.82,18200.64
DRG246,PID30100,RIDAZTucson,17,67423.17,17216.11,16289.52
DRG246,PID30101,RIDNVLasVegas,11,204695.72,21229.09,20308.72
DRG246,PID30103,RIDAZPhoenix,14,66546.78,23371.28,20476.85
DRG246,PID30105,RIDAZMesa,18,93490.77,20932.16,15692.88
DRG246,PID30110,RIDAZPhoenix,26,92691.73,22808.38,20344.26
DRG246,PID30115,RIDAZPhoenix,13,82007.38,23745.84,20202.00
DRG246,PID30119,RIDAZMesa,15,135869.93,20828.66,19854.00
DRG246,PID30121,RIDAZMesa,14,142530.00,35900.50,19243.07
DRG246,PID30126,RIDAZMesa,22,119741.04,20248.59,19432.59
DRG246,PID40004,RIDARSpringdale,25,77759.04,19908.84,19007.08
DRG246,PID40007,RIDARLittleRock,17,72212.11,18770.05,18041.35
DRG246,PID40014,RIDARLittleRock,16,71947.68,17995.75,17150.75
DRG246,PID40020,RIDARJonesboro,67,34208.23,19985.94,17683.44
DRG246,PID40022,RIDARSpringdale,32,164302.40,25024.21,20766.65
DRG246,PID40026,RIDARLittleRock,24,75606.87,18059.00,17121.00
DRG246,PID40036,RIDARLittleRock,25,57257.40,18093.84,15049.88
DRG246,PID40039,RIDARJonesboro,19,54249.63,18785.94,17893.94
DRG246,PID40055,RIDARFortSmith,17,78993.29,19981.11,18873.23
DRG246,PID40062,RIDARFortSmith,18,50204.50,16776.50,15773.83
DRG246,PID40071,RIDARLittleRock,28,72710.96,24877.39,17708.64
DRG246,PID40078,RIDARLittleRock,15,134754.73,18286.46,17469.13
DRG246,PID40114,RIDARLittleRock,29,71686.72,18533.10,17876.13
DRG246,PID40118,RIDARJonesboro,22,52583.59,18568.59,14113.77
DRG246,PID40119,RIDARLittleRock,14,61740.00,20904.50,18126.92
DRG246,PID40134,RIDARLittleRock,100,53510.66,16411.84,14907.25
DRG246,PID50002,RIDCAAlamedaCounty,12,202996.41,35050.66,34487.33
DRG246,PID50006,RIDCARedding,15,83945.13,25401.00,24275.40
DRG246,PID50009,RIDCANapa,11,182505.63,25651.63,24625.63
DRG246,PID50013,RIDCANapa,26,144796.69,29564.80,28741.26
DRG246,PID50017,RIDCASacramento,60,152579.10,26746.73,24644.83
DRG246,PID50022,RIDCASanBernardino,59,197374.03,31700.18,29572.83
DRG246,PID50025,RIDCASanDiego,25,76710.04,33556.16,32839.40
DRG246,PID50026,RIDCASanDiego,23,180622.91,24708.52,23725.56
DRG246,PID50036,RIDCABakersfield,13,149787.46,27976.38,23671.00
DRG246,PID50039,RIDCAChico,22,157800.77,23120.00,22406.90
DRG246,PID50043,RIDCAAlamedaCounty,29,169856.24,33093.24,32163.06
DRG246,PID50047,RIDCASanFrancisco,15,225537.26,38367.06,37616.66
DRG246,PID50057,RIDCABakersfield,60,118753.08,25125.10,23532.28
DRG246,PID50060,RIDCAFresno,34,108963.91,31319.11,30425.82
DRG246,PID50069,RIDCAOrangeCounty,17,151296.58,25301.29,22369.58
DRG246,PID50076,RIDCASanFrancisco,12,36373.75,25556.16,24990.16
DRG246,PID50077,RIDCASanDiego,26,142912.30,27745.34,26839.65
DRG246,PID50084,RIDCAStockton,11,129115.54,26957.81,25934.54
DRG246,PID50093,RIDCAFresno,27,108379.03,25149.37,23102.37
DRG246,PID50100,RIDCASanDiego,20,160835.70,28359.65,22871.05
DRG246,PID50103,RIDCALosAngeles,19,229521.68,35600.52,34753.26
DRG246,PID50104,RIDCALosAngeles,11,123220.27,34668.27,33956.63
DRG246,PID50107,RIDCASantaBarbara,12,156303.50,27075.25,23446.16
DRG246,PID50108,RIDCASacramento,24,134962.62,29050.25,25654.66
DRG246,PID50115,RIDCASanDiego,14,127562.64,31727.50,18740.50
DRG246,PID50116,RIDCALosAngeles,17,204387.82,28485.76,27492.70
DRG246,PID50125,RIDCASanJose,22,307043.22,38362.13,37496.13
DRG246,PID50126,RIDCALosAngeles,14,142908.35,32165.14,31522.85
DRG246,PID50129,RIDCASanBernardino,32,94901.28,26267.03,25800.31
DRG246,PID50145,RIDCASalinas,21,158730.76,44286.90,33569.57
DRG246,PID50153,RIDCASanJose,21,291514.80,34821.71,33972.95
DRG246,PID50168,RIDCAOrangeCounty,29,147984.93,24838.58,24028.79
DRG246,PID50169,RIDCALosAngeles,27,187523.18,23259.81,21392.00
DRG246,PID50195,RIDCAAlamedaCounty,20,248371.50,34643.20,33862.00
DRG246,PID50222,RIDCASanDiego,30,176085.63,25756.93,25066.33
DRG246,PID50226,RIDCAOrangeCounty,19,142026.26,24109.26,21489.78
DRG246,PID50232,RIDCASanLuisObispo,12,136362.75,21346.25,20596.91
DRG246,PID50239,RIDCALosAngeles,51,174396.68,31276.84,30302.82
DRG246,PID50243,RIDCAPalmSprings/RanchoM,27,184592.18,24547.77,23797.85
DRG246,PID50262,RIDCALosAngeles,14,114764.71,37166.57,36528.85
DRG246,PID50278,RIDCALosAngeles,15,178709.73,25319.40,24344.73
DRG246,PID50280,RIDCARedding,28,162895.75,27294.35,26454.50
DRG246,PID50289,RIDCASanMateoCounty,34,331808.97,38473.20,37546.64
DRG246,PID50290,RIDCALosAngeles,13,119760.38,20822.15,20040.92
DRG246,PID50291,RIDCASantaRosa,15,91251.20,33133.73,32159.06
DRG246,PID50300,RIDCASanBernardino,14,128186.28,25092.71,22721.14
DRG246,PID50308,RIDCASanJose,19,224398.21,30913.47,29807.78
DRG246,PID50309,RIDCASacramento,12,81184.75,23289.50,22542.83
DRG246,PID50324,RIDCASanDiego,29,150109.89,23707.17,22932.00
DRG246,PID50334,RIDCASalinas,22,153422.22,36752.59,35833.63
DRG246,PID50351,RIDCALosAngeles,33,143844.66,24165.33,23487.06
DRG246,PID50353,RIDCALosAngeles,26,166707.84,24694.69,23011.42
DRG246,PID50367,RIDCAContraCostaCounty,21,251763.57,34596.42,33797.00
DRG246,PID50380,RIDCASanJose,25,243054.92,29824.48,23625.12
DRG246,PID50382,RIDCALosAngeles,16,80260.25,28119.31,26602.25
DRG246,PID50393,RIDCALosAngeles,20,154065.45,26295.85,25506.65
DRG246,PID50394,RIDCAVentura,12,146596.83,21668.25,18993.33
DRG246,PID50396,RIDCASantaBarbara,25,120582.96,24992.08,24176.04
DRG246,PID50424,RIDCASanDiego,79,142288.93,23526.50,22052.60
DRG246,PID50441,RIDCASanMateoCounty,27,203630.11,40864.44,40030.70
DRG246,PID50455,RIDCABakersfield,23,91303.26,24435.78,23658.04
DRG246,PID50457,RIDCASanFrancisco,15,131039.93,30327.73,29501.86
DRG246,PID50464,RIDCAModesto,31,234376.51,28375.83,27432.03
DRG246,PID50471,RIDCALosAngeles,28,141366.50,31335.21,30613.21
DRG246,PID50485,RIDCALosAngeles,23,172361.60,42572.34,26075.52
DRG246,PID50496,RIDCAContraCostaCounty,19,232951.31,27387.47,26737.10
DRG246,PID50503,RIDCASanDiego,13,150132.30,29070.46,20391.53
DRG246,PID50549,RIDCAVentura,25,202086.64,28901.96,27376.20
DRG246,PID50557,RIDCAModesto,35,175444.62,24256.20,23422.62
DRG246,PID50567,RIDCAOrangeCounty,13,129705.76,22412.69,21549.30
DRG246,PID50570,RIDCAOrangeCounty,18,166078.83,29473.00,28790.11
DRG246,PID50573,RIDCAPalmSprings/RanchoM,22,144370.50,20053.00,19284.09
